124,157
124,157
124,157
124,157
124,157
124,157
124,157
127,157
140,157
142,157
142,157
142,157
142,157
142,157
143,157
145,157
149,156
152,156
155,156
158,155
161,155
164,155
167,155
172,155
175,155
179,155
184,155
190,152
193,152
196,152
197,152
202,150
206,150
212,150
217,150
221,149
226,147
229,147
236,144
241,144
245,144
247,144
253,144
259,143
263,141
269,141
274,141
278,140
283,141
289,141
295,141
302,141
308,140
316,138
320,138
325,137
331,137
335,135
343,136
352,136
364,136
373,136
380,136
389,136
397,136
407,135
418,135
430,134
436,131
442,132
448,133
452,133
455,133
458,133
458,133
461,133
466,133
470,133
470,133
473,133
478,133
482,133
487,133
491,135
496,136
502,138
505,138
509,138
517,139
520,139
524,139
529,139
532,141
539,142
544,142
550,144
553,145
560,150
563,153
568,156
569,157
571,157
574,162
575,165
577,166
578,169
583,172
584,174
587,175
589,177
590,178
593,181
595,184
598,189
599,190
601,193
601,195
604,196
605,198
605,198
605,198
605,198
605,199
605,199
605,201
605,201
605,201
605,202
605,202
607,205
607,208
607,210
608,213
608,216
610,217
610,220
610,222
610,223
610,225
610,225
610,226
610,228
610,231
610,232
610,234
610,237
610,238
609,241
607,243
607,244
603,247
603,249
598,250
594,252
591,253
589,253
588,255
586,256
585,258
583,259
583,259
582,261
580,262
577,262
576,262
574,262
574,262
573,262
570,262
567,264
562,265
558,265
556,267
555,270
553,271
550,271
549,271
546,273
544,276
544,276
543,277
541,279
540,279
540,279
537,280
535,280
535,280
534,282
531,283
529,283
528,285
526,285
522,286
520,288
517,289
516,289
513,291
511,291
508,292
507,292
507,292
505,292
505,292
504,292
499,294
496,294
495,294
492,294
489,294
486,294
484,294
483,294
482,295
482,295
480,297
478,297
475,297
474,298
472,298
472,298
472,298
471,298
466,298
463,298
460,300
457,300
451,300
448,300
444,300
438,300
433,300
430,300
427,300
423,300
418,300
412,300
411,300
408,300
405,300
402,300
399,300
397,300
397,300
396,300
394,299
393,299
390,299
388,299
385,297
382,297
378,297
376,297
373,297
372,297
372,297
372,297
370,297
369,297
366,297
366,297
360,297
357,297
354,297
352,297
351,297
349,297
345,296
343,296
342,296
340,296
339,296
336,296
334,296
330,296
328,294
327,294
327,293
324,293
321,291
319,290
318,290
318,290
318,288
316,287
316,287
316,287
315,287
315,287
315,287
313,287
312,285
310,284
310,284
309,284
307,284
307,284
306,284
304,282
303,282
301,281
301,281
298,278
297,278
294,278
292,276
289,275
285,270
283,269
282,267
279,266
276,263
273,261
270,261
265,260
262,258
261,257
256,255
252,254
250,254
246,252
244,252
241,251
238,249
235,248
231,245
226,242
222,240
219,239
217,237
214,237
211,234
210,233
207,231
202,230
201,230
199,228
198,228
193,227
190,225
187,224
183,222
178,221
175,219
171,219
169,218
166,216
163,213
159,209
156,204
154,204
150,200
147,197
144,192
141,189
136,182
135,177
133,171
133,162
133,156
133,155
133,152
133,149
133,143
133,138
134,134
134,129
134,128
134,126
136,123
137,120
140,119
143,117
146,114
149,114
151,114
154,113
160,110
161,108
161,107
163,105
163,104
166,102
167,101
169,101
170,101
170,101
170,101
170,101
170,101
172,99
173,99
176,96
176,96
178,95
178,95
178,95
178,95
178,95
178,95
179,93
179,93
179,93
179,93
179,93
